Date,Client_ID,Client_Name,Industry,Country,Product,Subscription_Type,Users_Count,Monthly_Recurring_Revenue,One_Time_Revenue,Discount_Percent,Churn_Risk_Score,Customer_Satisfaction_Score,Support_Tickets,Avg_Response_Time_Hours,Feature_Usage_Score,Contract_Length_Months,Renewal_Status,Sales_Rep,Lead_Source,Payment_Delay_Days,Marketing_Spend,Demo_Completed,Region
2026-01-01,C001,AlphaTech,FinTech,India,CRM Pro,Annual,120,5000,1000,10,0.2,8,5,12,75,12,Renewed,Ravi,Referral,2,2000,Yes,South
2026-01-02,C002,BetaSoft,Healthcare,USA,Analytics Plus,Monthly,80,3000,0,5,0.6,6,8,24,60,6,Not Renewed,Anita,Ads,10,5000,Yes,North America
2026-01-03,C003,GammaCorp,Ecommerce,UK,CRM Pro,Annual,200,8000,2000,15,0.3,9,3,10,85,24,Renewed,John,Organic,0,3000,Yes,Europe
2026-01-04,C004,DeltaSys,Education,India,Support Desk,Monthly,50,1500,500,0,0.7,5,12,36,40,3,Not Renewed,Meena,Cold Call,15,1000,No,South
2026-01-05,C005,EpsilonLtd,Manufacturing,Germany,Analytics Plus,Annual,150,6000,1500,8,0.4,7,6,18,70,18,Renewed,Arjun,Referral,5,2500,Yes,Europe
2026-01-06,C006,ZetaApps,FinTech,India,CRM Pro,Monthly,90,3200,0,5,0.5,7,7,20,65,6,Renewed,Ravi,Ads,3,2200,Yes,South
2026-01-07,C007,EtaSoft,Healthcare,USA,Support Desk,Annual,110,4500,800,12,0.3,8,4,15,72,12,Renewed,Anita,Referral,1,2700,Yes,North America
2026-01-08,C008,ThetaCorp,Ecommerce,UK,Analytics Plus,Monthly,70,2800,0,0,0.6,6,9,30,55,6,Not Renewed,John,Organic,8,3200,Yes,Europe
2026-01-09,C009,IotaSys,Education,India,CRM Pro,Annual,130,5200,900,10,0.2,9,3,10,80,12,Renewed,Meena,Referral,2,2100,Yes,South
2026-01-10,C010,KappaLtd,Manufacturing,Germany,Support Desk,Monthly,60,2000,400,3,0.7,5,11,35,45,3,Not Renewed,Arjun,Cold Call,12,1200,No,Europe
